Crop,pH,EC,Organic_Carbon,Nitrogen,Phosphorus,Potassium,Sulphur,Zinc,Iron,Copper,Manganese,Boron
Bajra,8.13,0.25,1.05,502,29,348,55,1.02,3.51,0.96,4.67,0.93
Onion,7.43,0.48,0.48,517,20,574,54,1.15,5.03,1.04,2.21,0.99
Sugarcane,7.23,0.34,0.24,203,10,341,27,1.1,5.73,1.75,7.2,1.19
Onion,7.39,1.49,0.85,618,42,546,44,0.8,4.74,1.01,6.32,0.1
Onion,6.6,0.95,0.81,340,33,169,35,0.53,7.22,1.87,4.85,1.42
Sugarcane,7.94,1.48,0.24,348,5,564,43,1.36,7.65,1.57,7.72,0.76
Jowar,7.21,0.66,1.08,225,8,108,51,0.98,5.47,0.4,1.1,0.73
Wheat,7.3,0.4,1.04,293,12,207,12,0.49,4.34,0.93,6.98,1.1
Banana,7.5,0.82,1.19,332,44,334,11,1.95,5.3,1.26,6.64,1.21
Gram,6.32,0.99,0.27,284,23,349,35,1.85,5.75,0.94,4.92,1.36
Tur,7.49,1.35,0.2,242,31,112,59,1.78,5.42,1.84,1.61,0.22
Groundnut,6.4,1.12,1.16,361,31,357,20,0.6,9.63,1.37,5.4,1.08
Maize,6.62,0.3,0.52,242,21,443,33,0.79,4.34,1.97,1.68,0.99
Sugarcane,8.32,0.18,0.79,213,18,392,29,1.91,4.53,1.84,7.45,0.28
Banana,6.82,1.14,0.78,612,12,359,22,0.87,5.8,1.54,3.29,0.75
Gram,8.09,1.1,0.84,171,28,104,56,1.17,6.67,0.25,3.66,0.9
Tur,6.42,0.14,0.56,469,23,160,52,1.79,7.11,0.49,7.38,0.58
Cotton,6.65,1.08,0.46,155,26,574,27,1.74,8.14,1.11,6.05,0.38
Tur,8.19,1.28,0.97,519,37,380,55,0.36,7.82,1.22,1.37,1.06
Soybean,6.31,0.54,0.96,401,17,153,5,0.24,2.27,1.61,1.95,0.6
Rice,6.1,1.31,0.61,522,42,146,15,1.77,9.68,1.47,1.12,0.88
Banana,7.0,0.9,0.23,191,13,121,58,1.01,3.72,0.9,6.45,0.8
Banana,6.57,0.18,0.25,405,32,300,26,0.46,6.1,0.83,7.64,0.75
Maize,7.07,0.74,0.28,499,37,270,41,0.38,3.57,1.02,7.28,1.01
Rice,6.99,0.29,0.61,412,29,589,53,1.12,4.79,0.78,5.32,1.08
Jowar,6.54,1.31,0.57,426,33,597,42,1.37,4.0,0.68,1.83,0.94
Cotton,8.21,1.26,0.4,621,16,139,41,0.36,9.07,1.63,3.36,1.46
Maize,6.51,0.9,0.81,318,43,254,5,0.99,8.95,1.92,5.93,1.42
Banana,6.76,1.04,1.08,329,43,260,50,0.86,8.08,0.48,2.6,1.0
Gram,7.52,0.4,0.56,648,18,196,59,0.35,3.38,1.26,3.71,0.79
Grapes,5.96,1.1,0.97,631,20,350,54,0.24,6.83,1.63,3.44,1.36
Grapes,7.13,0.87,0.91,309,27,314,18,1.99,8.2,0.35,2.35,0.32
Maize,6.15,0.48,0.69,643,22,209,38,1.84,4.59,1.57,2.83,1.23
Tomato,7.86,1.02,1.12,525,40,255,31,1.54,7.85,1.45,7.08,0.64
Tur,7.06,0.45,0.76,485,8,360,58,1.26,5.96,0.12,2.84,0.61
Gram,5.88,0.43,0.9,444,15,434,55,0.36,8.44,1.75,2.85,0.89
Onion,7.92,1.25,1.07,170,9,547,56,1.3,3.67,1.03,4.84,0.67
Groundnut,6.45,0.58,0.89,348,36,242,33,1.79,9.54,1.46,7.94,0.51
Groundnut,7.42,0.45,0.36,394,20,354,52,1.49,7.62,1.27,7.41,0.9
Grapes,6.66,0.43,0.42,646,13,409,30,1.49,8.52,0.44,5.8,0.67
Wheat,7.08,1.47,0.22,474,39,554,33,1.2,4.85,1.22,5.1,0.23
Groundnut,8.22,1.44,0.75,315,40,256,24,0.77,7.24,1.83,4.34,0.81
Tur,5.86,0.13,1.14,198,23,419,13,0.69,9.88,1.39,1.65,0.57
Bajra,7.87,0.81,0.43,514,32,503,24,1.84,9.28,1.31,6.5,0.98
Jowar,5.55,1.28,0.68,266,44,263,43,0.49,5.67,0.27,4.64,0.8
Banana,6.58,1.27,0.3,337,26,162,51,1.6,9.62,0.87,2.06,0.57
Banana,5.9,0.84,0.56,587,27,136,59,0.77,9.74,0.19,7.6,1.44
Tomato,6.39,0.78,0.64,486,37,162,48,1.58,2.08,1.86,4.73,1.39
Wheat,6.89,0.67,0.88,168,23,455,41,1.21,8.79,1.81,7.45,1.0
Soybean,5.92,0.77,0.3,319,8,370,8,1.55,3.8,1.28,6.79,0.85
Banana,5.96,1.44,0.82,291,22,111,21,0.34,3.01,0.62,7.88,1.27
Sugarcane,6.3,0.14,0.48,281,26,251,41,0.92,4.62,1.45,5.72,0.78
Soybean,7.55,0.36,1.02,276,22,468,50,1.73,7.16,0.95,5.24,1.03
Rice,5.81,0.98,0.91,315,30,115,40,1.71,8.61,0.33,3.42,1.44
Gram,6.37,1.26,0.77,275,30,527,8,0.83,2.25,1.35,7.15,1.35
Gram,6.36,0.1,0.63,412,22,142,37,0.96,3.94,0.16,1.39,0.18
Gram,5.67,1.04,0.42,220,14,157,60,0.46,6.06,1.09,1.58,1.06
Soybean,6.67,1.28,0.92,204,38,171,22,1.94,4.42,1.2,2.33,0.27
Onion,8.04,0.33,0.96,252,43,504,50,1.3,8.93,1.94,3.99,0.74
Groundnut,6.3,1.33,1.18,170,41,477,40,1.33,3.96,0.54,3.56,0.74
Grapes,7.86,0.66,1.09,161,12,268,22,0.21,2.37,0.72,4.61,1.05
Rice,8.36,1.01,0.62,418,10,446,26,0.21,3.91,0.98,1.68,0.39
Wheat,6.9,1.19,0.75,396,7,435,53,1.44,7.7,1.97,4.0,1.14
Tomato,5.78,1.1,0.87,271,16,517,10,1.29,3.57,1.77,5.85,1.11
Groundnut,7.88,1.41,0.57,422,25,240,53,1.99,9.93,0.35,7.11,0.71
Gram,7.7,1.18,0.84,437,42,212,13,1.9,8.93,1.02,1.36,0.82
Banana,5.72,1.11,0.46,489,20,120,58,0.69,9.99,0.88,5.64,0.62
Cotton,5.79,1.31,0.8,395,43,150,25,1.3,9.9,1.53,1.43,0.67
Sugarcane,7.61,0.3,0.84,489,16,142,47,1.04,8.23,0.15,2.31,1.05
Groundnut,8.43,1.08,1.11,597,22,284,45,1.74,6.34,0.12,6.25,1.11
Sugarcane,8.18,0.21,0.21,156,31,326,45,1.75,8.06,1.24,3.95,0.61
Wheat,5.73,0.53,0.81,605,42,594,49,1.35,8.45,1.46,5.05,0.98
Maize,5.99,1.27,1.06,355,14,370,23,1.38,7.08,1.91,4.18,0.63
Onion,7.14,1.5,0.21,189,28,312,57,0.91,8.41,0.51,7.4,0.85
Jowar,7.01,0.64,0.57,437,9,229,57,1.04,4.03,0.41,3.63,0.4
Sugarcane,5.9,0.73,1.0,512,26,103,14,0.4,7.26,1.9,1.86,1.36
Sugarcane,5.81,0.65,0.22,467,24,517,43,0.34,6.73,1.86,1.5,0.16
Onion,8.01,0.6,1.16,362,39,150,27,0.81,2.49,1.24,6.46,0.31
Sugarcane,6.74,0.63,0.25,627,33,216,30,1.93,2.82,0.41,1.23,1.26
Sugarcane,6.28,1.45,0.64,264,23,132,40,0.51,5.76,1.23,5.94,0.51
Banana,6.29,1.46,0.32,580,14,168,48,1.42,3.25,1.61,2.27,1.4
Onion,5.51,1.25,1.02,540,6,262,43,1.01,6.97,1.61,1.5,0.93
Sugarcane,5.79,1.22,1.07,631,12,309,39,0.78,5.91,1.89,1.22,1.21
Jowar,6.29,1.5,0.72,516,8,206,53,1.5,7.7,0.61,2.34,0.84
Tomato,6.83,0.37,0.66,616,6,271,8,0.59,2.91,0.75,6.4,0.74
Grapes,7.17,0.17,0.91,330,30,394,37,1.01,7.89,0.83,2.25,0.7
Bajra,8.42,0.43,1.05,260,15,114,18,0.49,6.62,0.77,4.08,0.97
Maize,6.75,0.81,1.03,291,5,369,57,1.91,4.92,0.45,1.82,0.73
Tomato,7.54,1.24,0.57,293,25,244,19,1.83,4.57,1.45,1.57,1.07
Soybean,5.55,0.87,0.94,603,23,578,47,1.59,8.32,1.24,7.77,1.05
Wheat,7.2,1.15,1.12,157,44,404,28,1.49,8.36,1.35,7.58,1.44
Rice,8.47,0.94,0.46,432,11,267,56,1.46,8.55,0.82,6.47,0.5
Wheat,6.79,0.31,0.45,532,23,554,49,1.32,9.65,1.36,2.59,1.4
Tur,7.73,1.39,1.15,484,34,535,38,0.52,9.09,0.21,1.88,0.69
Grapes,7.76,0.75,0.38,472,15,179,53,0.65,5.3,1.24,6.2,0.51
Bajra,5.63,0.55,0.27,551,41,551,47,1.8,3.36,0.38,7.89,0.64
Cotton,7.25,0.26,0.31,448,35,349,58,1.57,2.43,0.64,7.38,0.11
Sugarcane,5.98,0.11,0.3,502,10,123,32,0.3,7.47,1.58,2.32,0.43
Soybean,5.62,0.4,1.12,330,15,525,55,0.35,5.93,0.75,1.68,0.84
Grapes,6.39,1.2,0.77,405,15,207,32,0.53,4.29,1.91,1.21,0.29
Tur,7.04,0.34,1.09,562,7,233,31,1.64,7.37,0.11,6.54,0.71
Wheat,6.3,0.84,0.37,467,35,333,45,1.03,4.32,1.12,7.19,1.13
Wheat,6.99,1.28,0.43,421,38,328,44,1.33,3.91,1.99,5.4,0.35
Groundnut,6.66,0.69,0.29,515,32,535,50,1.39,4.74,0.66,4.77,1.06
Soybean,6.88,0.15,1.08,625,28,280,12,1.01,9.53,1.06,7.84,0.91
Onion,6.69,0.25,0.4,444,38,243,29,1.08,8.84,0.18,7.29,1.25
Rice,6.05,1.12,0.27,229,20,334,22,1.76,6.49,0.36,7.23,0.31
Banana,6.12,0.56,0.97,440,36,240,60,1.38,8.07,1.31,2.29,0.43
Banana,7.37,1.33,0.54,381,32,386,30,1.45,2.77,0.28,1.22,0.26
Maize,6.9,0.5,0.55,569,33,126,59,1.8,3.98,1.43,6.42,1.3
Rice,8.27,0.35,0.83,354,39,488,59,0.96,9.57,1.62,5.93,0.23
Soybean,5.61,1.39,0.27,164,45,431,6,1.57,8.83,0.86,5.82,1.03
Banana,6.31,1.46,1.18,403,36,112,47,1.1,2.15,1.42,5.84,0.37
Cotton,7.22,0.3,1.11,231,36,584,41,0.92,8.37,1.09,4.57,0.98
Rice,5.92,1.07,0.76,220,39,446,25,0.57,9.7,0.93,1.19,1.27
Cotton,6.72,1.45,0.95,533,20,445,37,0.98,5.45,1.5,2.29,0.8
Rice,7.29,0.94,0.98,534,16,394,51,0.59,8.15,1.0,5.01,0.61
Tur,6.61,0.21,0.24,510,36,216,29,0.26,3.31,0.2,7.32,1.07
Rice,8.46,0.3,0.88,217,30,305,56,0.28,5.1,0.84,2.89,0.68
Wheat,8.1,0.98,0.63,575,19,444,48,0.39,9.54,1.4,6.57,0.38
Grapes,7.1,1.44,1.14,331,44,280,31,0.5,5.06,0.69,4.79,0.65
Rice,6.36,1.13,1.09,648,8,108,14,1.71,8.29,1.37,3.52,0.22
Banana,8.24,0.97,0.48,395,23,114,60,1.31,3.02,0.33,5.85,0.81
Grapes,5.92,1.11,0.43,488,6,181,36,0.58,7.41,1.22,6.14,1.01
Bajra,8.2,0.71,0.52,168,38,538,53,0.36,4.77,1.07,2.2,0.47
Cotton,7.3,0.99,0.45,519,33,280,40,1.93,3.07,0.31,5.26,0.79
Groundnut,6.09,0.52,0.24,214,17,255,30,0.9,4.17,1.46,5.36,0.35
Sugarcane,6.97,0.68,0.63,461,39,544,19,0.65,9.96,1.82,2.55,1.38
Gram,7.87,1.49,0.56,616,23,290,7,0.49,4.76,0.52,6.25,1.3
Groundnut,7.01,0.52,0.31,343,13,451,19,0.89,7.67,0.64,3.67,0.52
Soybean,7.25,0.33,0.37,631,24,111,13,1.14,6.22,0.49,7.91,0.7
Gram,7.25,0.52,0.34,302,9,213,51,1.6,6.29,0.44,2.22,0.56
Gram,7.66,0.23,0.75,500,30,260,56,1.87,9.44,0.6,4.09,0.7
Onion,6.9,0.87,0.25,543,24,373,41,0.64,5.74,0.47,6.54,1.43
Gram,8.39,0.35,0.89,593,44,309,18,1.22,7.96,0.71,6.21,0.44
Bajra,7.28,1.25,0.61,610,16,104,22,0.57,8.67,0.86,7.59,0.95
Bajra,8.46,0.99,1.07,562,18,595,51,0.86,3.89,1.2,7.55,1.13
Groundnut,7.68,0.3,0.22,485,38,564,52,1.43,2.41,1.63,2.53,0.22
Maize,6.15,0.56,0.32,302,9,584,58,1.65,7.27,0.15,2.65,0.8
Maize,7.5,0.75,0.26,574,45,386,8,0.7,2.58,1.31,7.89,1.5
Banana,8.15,0.97,0.62,428,31,420,31,1.74,9.22,1.24,2.56,1.38
Rice,8.03,0.53,1.2,565,13,213,17,1.62,5.5,0.92,2.02,0.9
Maize,7.79,0.19,0.87,294,28,142,9,1.09,9.66,0.59,4.06,1.36
Sugarcane,6.93,0.52,0.45,351,45,138,26,0.91,9.88,1.74,5.53,0.17
Soybean,6.66,0.75,0.41,156,42,387,16,0.25,6.89,0.15,5.3,1.49
Banana,7.7,0.31,0.41,192,43,236,28,0.43,5.02,0.71,4.92,0.7
Maize,7.5,1.0,0.34,161,26,118,58,1.34,6.42,1.04,5.5,0.15
Gram,6.76,0.27,0.72,477,27,139,60,0.83,2.08,1.33,2.02,0.76
Maize,7.78,0.71,1.06,327,14,590,20,0.84,6.8,0.21,1.26,0.61
Cotton,7.0,0.88,0.87,640,28,299,26,1.37,6.49,0.5,3.81,1.39
Wheat,7.83,0.58,0.25,235,11,343,26,0.56,8.53,1.86,5.92,0.33
Jowar,6.17,0.31,0.65,516,33,111,33,0.7,5.62,0.83,2.64,0.31
Tomato,5.52,0.25,1.16,340,10,515,17,0.55,9.9,1.69,2.14,1.49
Gram,6.29,0.68,0.98,266,25,302,23,0.8,3.36,1.7,3.74,0.5
Maize,7.97,0.12,1.03,634,26,369,44,0.26,5.19,0.84,1.2,1.31
Bajra,7.05,0.79,0.73,493,7,111,37,0.26,8.15,0.51,4.37,1.34
Grapes,5.88,0.82,1.19,390,27,163,36,0.57,6.74,1.8,5.56,0.99
Tur,5.86,1.0,1.2,201,43,209,38,1.75,7.03,0.68,4.84,0.79
Cotton,5.68,0.41,1.09,215,38,283,59,1.45,7.87,1.72,7.07,0.1
Bajra,5.59,0.14,0.49,462,14,522,14,1.39,7.59,1.73,7.12,0.62
Tomato,7.48,0.11,0.42,260,45,289,33,1.88,5.45,1.95,1.38,0.81
Bajra,7.46,0.41,0.56,323,26,153,37,0.24,6.28,1.47,7.85,1.36
Wheat,7.85,1.33,0.93,420,33,221,56,1.34,5.89,1.06,2.21,0.2
Bajra,6.97,0.28,0.9,296,30,595,39,0.23,6.25,1.14,5.6,0.7
Bajra,6.48,1.19,0.6,220,5,248,49,0.83,8.93,1.04,6.86,1.04
Tomato,7.21,1.47,0.92,545,40,161,52,0.64,4.97,1.22,3.25,1.47
Jowar,8.42,0.89,0.47,223,16,170,46,1.04,9.09,0.83,1.74,0.12
Banana,6.02,1.49,1.16,442,26,181,55,1.04,9.69,0.65,1.08,0.77
Grapes,7.53,0.8,0.25,464,40,114,12,1.63,9.86,1.37,2.97,0.13
Tur,8.07,1.12,0.69,597,44,435,56,0.56,5.51,1.67,4.34,1.21
Banana,8.34,1.08,1.05,607,27,509,12,1.7,2.96,1.78,1.25,0.53
Bajra,8.37,0.83,0.24,284,42,238,21,1.46,6.65,0.98,3.44,0.88
Onion,7.32,0.73,0.43,276,24,502,49,0.84,2.67,1.87,5.15,0.73
Tur,6.12,1.31,0.67,486,41,457,13,1.16,9.54,0.82,6.37,1.25
Gram,8.14,1.33,0.91,407,36,252,14,1.19,6.3,1.14,2.35,0.5
Tomato,6.45,1.17,0.65,265,22,485,29,0.62,2.62,1.49,7.15,1.36
Jowar,6.47,0.14,1.01,251,19,552,30,1.07,7.68,0.99,4.05,1.09
Gram,7.8,1.26,1.01,164,31,465,8,1.85,7.65,1.4,7.01,0.55
Wheat,7.79,0.46,0.34,344,30,284,14,0.27,4.74,0.17,2.26,0.58
Gram,6.44,0.81,0.24,356,45,265,6,0.97,9.86,0.77,3.13,0.55
Jowar,6.84,0.24,0.38,485,8,288,48,0.9,2.67,1.36,3.18,1.47
Tur,7.06,0.24,0.37,280,34,436,53,0.6,5.74,0.44,6.89,0.37
Gram,7.21,0.82,1.12,409,24,462,54,0.66,9.05,1.22,1.98,0.95
Soybean,6.64,0.18,0.75,430,9,501,25,0.72,4.17,1.08,4.52,1.0
Jowar,5.94,0.77,0.21,196,18,211,36,1.77,3.36,0.6,7.77,0.85
Tomato,8.03,0.24,0.64,484,8,142,41,1.93,5.28,0.52,4.56,1.18
Onion,7.62,1.41,0.32,452,8,463,56,0.49,2.96,0.68,3.63,0.45
Jowar,7.6,1.4,0.69,522,11,528,27,1.8,2.52,0.88,3.73,0.82
Tur,6.56,1.43,1.05,378,27,454,55,1.87,8.45,0.43,3.22,1.07
Onion,7.9,0.36,0.46,378,43,391,54,1.79,2.8,0.94,3.03,1.11
Grapes,6.93,0.78,1.15,169,18,168,45,1.46,3.71,0.98,5.21,0.28
Grapes,7.13,0.75,0.75,525,11,477,37,0.57,7.52,1.56,4.82,1.24
Onion,5.62,1.48,1.06,485,12,334,18,0.55,7.31,1.41,4.82,1.3
Gram,6.71,0.68,0.66,469,11,164,56,0.58,3.84,1.04,1.79,0.84
Tomato,7.5,1.43,0.5,519,18,447,39,0.76,5.99,1.9,2.64,0.3
Wheat,7.11,0.98,0.49,424,18,312,38,0.62,6.02,0.24,6.08,1.49
Banana,6.8,0.5,0.33,339,29,202,11,0.87,5.32,0.78,6.21,0.61
Jowar,6.83,1.42,0.48,645,22,592,24,0.2,9.0,0.47,3.16,0.61
Maize,6.96,0.62,0.38,194,20,348,59,0.21,9.62,0.26,5.69,0.25
Groundnut,6.86,0.42,0.28,557,19,383,43,1.98,8.06,1.44,7.14,0.87
Jowar,6.63,1.37,1.12,600,32,316,40,1.06,7.04,0.41,4.05,0.61
Jowar,6.22,0.99,1.03,466,43,105,46,0.35,5.03,1.99,6.66,1.37
Onion,5.8,1.46,1.18,415,23,491,54,1.85,7.93,1.46,3.06,1.11
Rice,7.46,1.45,0.96,533,32,275,53,0.21,5.56,1.38,2.32,1.01
Jowar,7.43,0.53,1.03,288,18,114,29,2.0,5.09,0.2,4.23,0.62
Soybean,6.33,1.49,1.08,535,18,292,42,1.29,4.85,1.98,4.71,0.67
Cotton,6.17,1.01,0.58,278,41,582,14,1.64,5.46,0.46,1.11,0.29
Cotton,8.3,1.27,1.07,560,29,169,24,0.88,6.62,0.38,7.12,0.9
Groundnut,7.53,1.06,0.67,303,18,485,5,1.78,9.72,1.58,2.02,0.76
Grapes,6.1,0.32,0.27,246,18,351,57,0.96,9.8,0.9,3.58,0.77
Jowar,6.68,0.86,1.13,537,30,170,9,1.11,9.77,0.49,2.3,0.25
Rice,5.66,0.66,0.96,621,42,103,49,0.49,8.68,1.38,2.83,1.32
Grapes,8.48,1.12,1.02,647,31,587,9,0.54,6.65,0.93,4.91,1.4
Onion,7.53,0.43,0.55,259,5,101,40,0.95,4.53,0.79,4.65,0.23
Cotton,7.47,0.53,0.59,505,23,598,30,0.27,4.52,1.62,7.71,1.01
Sugarcane,7.25,1.22,1.03,494,12,295,26,0.98,2.83,1.76,3.51,1.44
Soybean,6.03,1.19,1.01,164,27,137,42,1.59,8.36,0.92,5.88,0.35
Rice,7.19,0.84,0.9,364,21,145,6,0.66,2.86,0.91,5.59,0.58
Tomato,7.74,1.16,0.39,294,10,455,53,0.43,8.04,1.13,3.09,0.4
Soybean,7.55,0.96,0.76,546,25,233,23,0.96,5.2,1.52,7.96,1.29
Grapes,6.46,1.28,1.03,561,37,162,55,0.32,9.42,1.76,3.15,0.17
Jowar,7.14,0.43,0.66,485,42,536,9,0.22,6.36,0.69,4.4,0.6
Tomato,6.82,1.47,0.23,257,28,258,30,0.5,8.55,0.24,1.58,0.65
Wheat,7.22,1.06,0.24,513,23,589,33,0.28,6.2,0.27,3.94,1.12
Tur,6.85,1.27,1.13,436,28,461,30,0.89,3.26,1.22,3.61,1.27
Wheat,6.8,0.36,0.5,608,11,152,47,1.56,2.63,1.42,2.08,0.99
Jowar,5.62,0.31,1.18,498,28,213,36,0.42,3.83,1.01,5.75,0.24
Banana,6.05,1.43,0.78,359,23,113,59,1.63,8.5,1.44,6.46,0.16
Bajra,5.85,1.19,0.43,234,23,186,57,0.77,6.31,0.28,6.29,0.44
Tomato,7.52,0.75,0.6,463,25,336,36,1.59,9.9,0.38,7.19,0.57
Wheat,6.47,0.13,0.29,522,8,178,20,1.13,2.07,1.24,3.98,1.18
Soybean,5.56,1.3,1.0,441,14,422,5,1.24,4.19,0.98,4.64,1.47
Cotton,5.58,0.27,0.52,270,11,537,34,1.26,4.11,1.68,7.31,0.98
Maize,6.6,0.52,0.86,507,41,587,16,1.84,8.39,1.42,1.99,0.59
Gram,6.79,1.5,0.4,261,6,548,12,1.93,9.78,1.14,4.01,0.87
Soybean,6.01,0.48,0.42,430,28,111,6,0.48,4.53,1.85,3.72,1.4
Jowar,6.57,1.18,1.05,160,25,178,45,0.73,7.94,1.47,1.66,0.44
Cotton,8.22,0.64,0.96,588,21,432,35,0.97,3.03,1.85,4.19,0.45
Bajra,7.45,0.24,0.42,602,18,528,54,1.47,5.19,1.2,2.59,0.59
Grapes,6.57,0.37,1.06,541,8,170,26,1.86,8.17,0.4,6.78,1.24
Grapes,6.81,0.52,0.73,598,21,280,6,0.92,2.87,0.68,2.27,0.22
Rice,6.05,0.3,0.96,261,23,412,49,0.2,9.81,1.89,5.31,1.27
Onion,5.86,0.73,0.47,306,34,125,18,0.89,6.12,1.11,6.9,0.4
Banana,5.99,1.17,0.39,558,15,123,60,1.87,4.68,1.61,6.92,1.16
Groundnut,7.01,1.29,0.47,422,19,216,31,1.61,5.27,1.16,4.57,0.13
Soybean,6.16,0.25,0.88,425,34,213,32,0.32,8.39,0.3,4.77,0.95
Maize,5.97,1.07,0.45,271,20,216,44,0.84,7.52,0.69,1.89,1.42
Soybean,5.55,0.31,1.1,526,13,459,31,0.85,2.28,1.82,1.83,0.85
Banana,7.74,0.52,0.22,614,35,492,43,0.74,8.68,1.03,5.98,0.65
Tur,5.75,1.27,0.99,419,44,209,45,0.44,8.19,0.92,3.18,0.7
Onion,6.31,1.15,0.98,356,38,363,10,1.94,9.68,1.45,4.92,0.42
Sugarcane,7.36,1.34,0.33,245,16,448,35,1.06,3.71,0.38,1.17,1.14
Groundnut,7.19,1.24,0.28,473,38,109,10,0.87,8.16,0.39,1.93,0.72
Sugarcane,7.86,1.38,0.77,246,35,418,22,1.6,3.66,1.52,1.39,1.31
Wheat,8.09,1.25,0.93,541,36,139,35,0.5,8.81,1.82,4.7,0.74
Jowar,7.19,0.56,1.05,233,40,436,23,1.22,8.22,0.98,2.85,0.93
Bajra,6.49,0.64,0.24,362,22,521,18,1.06,3.57,0.69,3.69,0.18
Grapes,5.85,1.4,0.87,608,20,387,9,1.03,8.76,1.8,6.34,0.87
Grapes,5.68,0.51,0.84,647,18,472,7,0.99,6.84,1.06,1.25,1.27
Groundnut,8.29,0.58,1.15,198,18,458,19,1.75,4.48,0.89,6.44,1.17
Soybean,5.8,0.61,0.29,388,40,468,13,1.22,7.59,0.64,7.99,0.53
Wheat,6.84,0.92,0.7,240,41,480,49,0.88,6.97,0.25,2.62,1.41
Sugarcane,8.43,1.16,0.31,428,43,516,47,0.88,4.03,1.81,5.09,0.68
Tomato,7.85,0.89,0.81,621,38,368,42,0.26,7.63,1.52,5.54,0.83
Wheat,6.77,1.46,1.17,645,17,135,22,1.09,3.28,0.45,2.38,0.99
Groundnut,6.27,0.55,0.42,569,25,313,50,1.84,6.93,1.95,4.22,0.79
Grapes,6.7,0.19,0.48,238,14,271,22,1.16,9.55,1.57,1.05,1.35
Jowar,7.81,0.26,0.76,482,18,253,32,1.0,8.03,1.74,3.97,1.43
Gram,6.04,1.25,0.36,483,20,449,53,1.91,5.13,1.35,1.14,0.2
Banana,6.5,1.42,0.85,183,8,119,34,1.22,2.21,0.44,1.12,0.64
Jowar,7.82,0.59,0.66,475,29,444,43,0.98,2.7,0.67,4.93,0.86
Onion,7.51,0.33,1.0,290,43,355,34,1.2,4.15,0.58,3.23,0.75
Soybean,6.04,0.45,1.19,243,37,288,53,0.7,6.22,0.45,5.42,0.56
Banana,5.86,1.06,0.54,204,24,327,12,1.82,7.05,0.82,6.52,0.55
Soybean,7.44,1.45,0.62,286,43,361,24,1.13,7.06,1.67,2.27,0.42
Soybean,6.29,1.43,0.5,263,37,406,34,0.69,8.91,0.45,2.65,1.16
Banana,6.08,1.31,0.98,208,9,389,22,0.47,9.0,1.37,1.36,1.39
Banana,7.13,1.38,0.35,232,28,132,40,1.44,3.01,0.71,1.24,0.57
Soybean,7.92,0.35,0.41,219,16,222,58,1.01,2.99,0.11,5.22,1.24
Cotton,7.31,1.44,1.11,157,5,169,29,0.52,6.59,0.37,2.03,1.38
Onion,8.41,0.72,0.44,284,27,424,18,1.04,2.83,0.3,5.84,1.2
Soybean,8.42,0.22,0.51,603,42,600,60,1.32,2.14,0.57,5.36,0.74
Bajra,6.58,0.65,1.11,250,33,508,55,0.76,6.57,0.57,4.07,0.77
Jowar,8.09,1.36,0.35,375,33,125,10,0.73,7.7,0.23,1.72,1.04
Maize,6.65,1.24,0.54,327,21,554,60,0.41,7.14,0.35,4.65,0.74
Sugarcane,7.12,0.31,1.07,509,26,236,7,1.94,5.87,1.67,6.69,0.45
Onion,6.47,0.92,0.59,320,14,587,11,1.79,6.12,0.36,4.68,1.06
Cotton,6.81,0.34,0.61,150,10,255,27,0.98,8.34,1.54,6.2,0.21
Maize,6.87,0.96,1.17,518,31,543,16,0.54,2.47,0.32,7.46,0.61
Rice,6.22,0.26,1.09,332,44,415,14,1.94,9.81,0.79,3.41,0.69
Onion,7.14,0.74,0.53,458,14,364,32,0.57,8.2,1.61,6.27,0.11
Rice,6.89,0.3,0.25,427,29,330,45,0.55,7.53,1.84,3.97,0.92
Tomato,5.88,0.45,0.28,577,45,444,13,1.05,9.56,1.47,7.49,0.7
Tomato,6.35,0.77,0.34,492,6,264,6,0.62,2.7,0.72,5.04,0.91
Gram,6.7,0.58,0.2,629,41,314,41,0.67,8.23,1.32,1.37,1.15
Cotton,7.28,0.71,0.8,303,37,315,58,1.61,8.52,0.45,6.76,1.08
Bajra,5.96,0.9,1.02,209,15,466,45,0.83,3.57,0.37,1.4,0.53
Gram,5.65,1.27,0.3,447,18,180,33,1.82,2.13,1.6,6.81,1.29
Cotton,7.02,0.34,0.27,222,31,115,40,0.38,4.97,0.92,3.08,0.16
Bajra,7.71,0.95,0.47,584,42,183,41,1.76,7.26,0.9,7.6,0.56
Cotton,8.25,0.99,0.99,628,24,585,18,1.83,7.24,0.91,7.29,1.05
Tomato,5.89,0.58,0.75,629,27,384,46,0.4,8.45,0.59,6.77,1.29
Jowar,7.27,0.2,1.04,453,10,119,8,0.32,4.83,0.81,4.51,0.69
Jowar,6.15,0.13,0.71,532,5,518,26,1.42,7.82,1.74,6.17,1.27
Wheat,8.07,1.02,0.9,373,20,251,48,1.68,7.53,0.39,6.76,1.31
Maize,6.94,0.82,0.22,400,41,207,34,1.53,6.61,1.49,3.61,0.94
Jowar,6.57,1.03,0.89,178,14,100,10,1.16,7.63,0.82,4.89,1.15
Jowar,5.79,0.2,1.07,382,15,547,44,1.39,3.51,0.51,7.1,0.22
Bajra,8.34,0.81,0.48,609,40,551,56,1.3,3.48,1.31,3.73,1.37
Cotton,6.34,0.5,0.37,237,40,283,18,1.01,6.56,0.39,5.46,0.17
Rice,8.31,0.9,0.82,166,33,235,8,0.39,3.35,1.3,1.17,0.53
